Date : 2024-12-12 19:29:03
Directory : d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src
Total : 91 files,  6172 codes, 825 comments, 877 blanks, all 7874 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| pages\ShoppingCart                                                                                                      |          1 |         38 |         14 |          8 |         60 |
| pages\Table                                                                                                             |          1 |        234 |         33 |         30 |        297 |
| pages\UserInfo                                                                                                          |          1 |         94 |          9 |         14 |        117 |
| pages\admin                                                                                                             |          1 |        157 |          6 |         14 |        177 |
| services                                                                                                                |          1 |          9 |          0 |          4 |         13 |
| utils                                                                                                                   |          3 |         96 |         11 |         28 |        135 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\App.jsx                                               | JavaScript JSX |        124 |          1 |          7 |        132 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\category.api.js                                  | JavaScript     |          2 |          0 |          2 |          4 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\categoryIndex.js                                 | JavaScript     |         11 |          3 |          5 |         19 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\foodApi.js                                       | JavaScript     |         24 |          0 |          4 |         28 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\order.api.js                                     | JavaScript     |         13 |          0 |          4 |         17 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\raking.api.js                                    | JavaScript     |         10 |          0 |          2 |         12 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\search.api.js                                    | JavaScript     |          6 |          0 |          2 |          8 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\tableApi.js                                      | JavaScript     |          6 |          2 |          6 |         14 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\apis\user.api.js                                      | JavaScript     |          5 |          0 |          2 |          7 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\assets\react.svg                                      | XML            |          1 |          0 |          0 |          1 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\AddFood\AddFoodForm.jsx                    | JavaScript JSX |        202 |          9 |         17 |        228 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\EditFoodForm\EditFoodForm.jsx              | JavaScript JSX |        165 |         13 |         15 |        193 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\FoodItem\FoodItem.jsx                      | JavaScript JSX |         94 |         12 |          5 |        111 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\CustomerReview.jsx                    | JavaScript JSX |        159 |          7 |          8 |        174 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\CustomerReview.module.css             | PostCSS        |        114 |          5 |         28 |        147 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\Food.jsx                              | JavaScript JSX |         84 |        137 |         23 |        244 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\Food.module.css                       | PostCSS        |         50 |          1 |         11 |         62 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Food\TaiCocauFood.jsx                      | JavaScript JSX |         93 |        117 |         20 |        230 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Footer\Footer.jsx                          | JavaScript JSX |         65 |          0 |          3 |         68 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Footer\Footer.module.css                   | PostCSS        |         94 |          3 |         27 |        124 |
| d:\Storage\ICT files\FoundationProjectClone\FoundationProject\src\components\Footer\FooterCopyright.jsx                 | JavaScript JSX |         79 |          0 |          5 |         84 |
